accion	id	tiendas	de	a	motivo_fuera	nombre
ACCESORIO	p143387	amazon_mx	Celulares/Android	Celulares/Accesorios		Reemplazo de Pantalla móvil Ensamblaje Completo de Pantalla LCD y digitalizador para Nokia C20 (Negr
MAPA	p141875	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Tangxi Teléfono con Tapa Desbloqueado 2G gsm para Personas Mayores, Teléfono Celular Básico Desbloqu
MAPA	p141879	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Tangxi Teléfono con Tapa Desbloqueado 2G gsm para Personas Mayores, Teléfono Celular Básico Desbloqu
MAPA	p142071	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable Desbloqueado 4G LTE para Personas Mayores – Pantalla Dual con Altavoz, SOS de un T
MAPA	p142072	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Flip 4G para Personas Mayores - Móvil LTE Dual SIM Desbloqueado con Pantalla Dual de 2.4" +
MAPA	p142082	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable Desbloqueado 4G LTE para Personas Mayores con Pantallas Duales Pantalla Principal 
MAPA	p142409	amazon_mx	Celulares/Resistentes	Bocinas/Mediana		8849 Tank 3 Pro Teléfono inteligente resistente 2024, 23800 mAh, teléfono resistente con proyector 9
MAPA	p142781	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable Desbloqueado 4G LTE para Personas Mayores: Pantalla Dual con Altavoz, Botón de Eme
MAPA	p142785	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable 4G para Personas Mayores - Móvil LTE Dual SIM Desbloqueado con Pantalla Dual de 2.
MAPA	p142790	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable Desbloqueado 4G LTE para Personas Mayores – Pantalla Dual con Altavoz, SOS de un T
MAPA	p142829	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable Desbloqueado 4G LTE para Personas Mayores: Pantalla Principal de 2,4 Pulgadas + Pa
MAPA	p142982	amazon_mx	Celulares/Resistentes	Bocinas/Mediana		WP53 Pro 4G Robusto teléfono 11000mAh, 6,52 Pulgadas HD + Pantalla, batería 128dB Altavoz 24GB RAM +
MAPA	p143481	amazon_mx	Celulares/Accesorios	Herramientas/Soldadura		Estación de Soldadura, Estación de soldadura 750W 8898 retrabajo digital for la teléfonos celulares 
MAPA	p143487	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable Desbloqueado 4G LTE para Personas Mayores: Pantalla Principal de 2,4 Pulgadas + Pa
MAPA	p143489	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable Desbloqueado 4G LTE para Personas Mayores: Pantalla Principal de 2,4 Pulgadas + Pa
MAPA	p143652	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable Desbloqueado 4G LTE para Personas Mayores – Pantalla Dual con Altavoz, SOS de un T
MAPA	p143653	amazon_mx	Celulares/Básicos	Bocinas/Mediana		Teléfono Plegable Desbloqueado 4G LTE para Personas Mayores – Pantalla Dual con Altavoz, SOS de un T
MAPA	p143753	amazon_mx	Celulares/Accesorios	Herramientas/Soldadura		Máquina de Soldar, Estación de soldadura de 750W 8898 Estación de retrabajo de soldadura digital for
MAPA	p143763	amazon_mx	Celulares/Accesorios	Herramientas/Soldadura		Máquina de Soldar, Estación de soldadura de 750W 8898 Estación de retrabajo de soldadura digital for
MAPA	p143769	amazon_mx	Celulares/Android	Herramientas/Soldadura		Estaciones de soldadura Estación de soldadura de 750W 8898 Estación de retrabajo de soldadura digita
MAPA	p143774	amazon_mx	Celulares/Accesorios	Herramientas/Soldadura		Máquina de Soldar, Estación de soldadura de 750W 8898 Estación de retrabajo de soldadura digital for
MAPA	p171188	amazon_mx	Celulares/Resistentes	Bocinas/Mediana		Klein Tools AEPJS2 - Altavoz Bluetooth con tira magnética y gancho, recargable, inalámbrico y capaci
MAPA	p172864	amazon_mx	Celulares/Android	Bocinas/Mediana		Genérico 5-in-1 Wireless Induction Bluetooth Speaker, Rechargeable Speakers Amplifier, with Adjustab
MAPA	p175171	amazon_mx	Celulares/Android	Bocinas/Mediana		Genérico 5-in-1 Wireless Induction Bluetooth Speaker, Rechargeable Speakers Amplifier, with Adjustab
MAPA	p177182	amazon_mx	Celulares/Accesorios	Bocinas/Mediana		ECOXGEAR EcoExtreme 2 - Altavoz Bluetooth para tu Smartphone (Gris)
MAPA	p177858	amazon_mx	Celulares/Accesorios	Bocinas/Mediana		Brookstone - Altavoces Bluetooth IPX5 Impermeable al Aire última intervensión, Altavoz Bluetooth por
MAPA	p194166	amazon_mx	Celulares/Accesorios	Bocinas/Mediana		Miroir Miniproyector HD para el hogar con altavoz integrado, enfoque automático y corrección trapezo
MAPA	p248906	amazon_mx	Celulares/Android	Herramientas/Soldadura		Kit Soldador Ajustable 30 en 1 60W 188 Pzs Multímetro VC830L Reparación PCB,Temperatura regulable 20
