ventaja	propio	destino	categoria	subcategoria	destino_propuesto	id	nombre
27.30	5.68	32.99	Muebles	Taburetes y bancos	Deportes y fitness	p327886	Banco de gimnasio Silla romana con altura ajustable Banco de extensión de respaldo Banco de abdominales Entrenador de fuerza de piernas Banco de hiperextensión 
27.30	5.68	32.99	Muebles	Taburetes y bancos	Deportes y fitness	p327887	Banco de gimnasio Silla romana con altura ajustable Banco de extensión de respaldo Banco de abdominales Entrenador de fuerza de piernas Banco de hiperextensión 
27.30	5.68	32.99	Muebles	Taburetes y bancos	Deportes y fitness	p327895	ASSICON Silla Romana con Altura Ajustable Banco de extensión de Respaldo Banco de Abdominales Entrenador de Fuerza de piernas Banco de hiperextensión Equipo de 
26.62	6.89	33.51	Videojuegos	Juegos para PC	Laptops	p280377	ADATA - SSD de 2TB 2230, Legend 820, NVMe PCIe Gen4 x4 M.2, velocidad de hasta 5,000 MB/s, unidad de estado sólido interna para Steam Deck, Asus ROG Ally, Micro
26.19	3.31	29.50	Muebles	Sillas plegables y de camping	Deportes y fitness	p327818	Silla romana plegable para ejercitar la cintura, las caderas y la espalda, entrenador de glúteos con extensión de espalda, equipo de gimnasio en casa para forta
25.97	4.77	30.74	Muebles	Taburetes y bancos	Deportes y fitness	p322110	Silla Romana Ajustable, Multifuncional Banco de Hiperextensión para Glúteos, Espalda y Abdominales, Leg Extension Ajustable de Ángulo y Altura para Ejercicio Gi
25.10	7.73	32.83	Cocina y comedor	Organización de cocina	Equipo comercial	p361170	Carro de Bar Estante para Botellas de Vino Carro de Bar/Carros rodantes industriales/Carros de Servicio para Cocina, Comedor, Bar en casa o Buffet, Carro de Bar
25.04	9.96	35.00	Cocina y comedor	Organización de cocina	Equipo comercial	p366202	Carrito De Bar Moderno De Acero Inoxidable para Hoteles Y Restaurantes, Carrito De Servicio Comercial con Portavasos para Licores Y Vinos, Mobiliario Perfecto p
24.86	11.71	36.57	Otros	Paneles solares	Cámaras de seguridad	p257740	CáMara PTZ Solar de 3MP 4G SIM WiFi CáMaras IP InaláMbricas para Exteriores con Panel Solar CáMara CCTV de Seguridad con Audio Bidireccional (C)
24.52	9.95	34.46	Cocina y comedor	Organización de cocina	Equipo comercial	p358716	Estanteria Carro de Servicio for Barra de Vinos Negro, Carro de Barra for Vino de 2 Niveles con Ruedas, Almacenamiento en Botellero de Vidrio de Metal, for Coci
24.47	2.28	26.75	Otros	Organización del hogar	Equipo comercial	p358715	Carritos, Carro de Almacenamiento, Carro de Servicio, Vehículo utilitario, Carro portátil multifunción, Carro para el hogar, Carro clasificador de lavandería de
24.41	2.28	26.69	Otros	Organización del hogar	Equipo comercial	p358667	Carros de Almacenamiento Carro de Servicio Carro utilitario Carro multifunción portátil Carro para el hogar Carro clasificador de lavandería para Hotel Carro co
24.41	2.28	26.69	Otros	Organización del hogar	Equipo comercial	p358706	Carros de Almacenamiento Carro de Servicio Carro utilitario Carro multifunción portátil Carro para el hogar Carro clasificador de lavandería de Hotel Carro con 
23.05	2.20	25.25	Muebles	Taburetes y bancos	Deportes y fitness	p327255	VEVOR - Banco multifuncional para silla romana de hiperextensión para entrenamiento de cuerpo completo, equipo de extensión ajustable y plegable (capacidad de 3
22.93	3.31	26.23	Muebles	Taburetes y bancos	Deportes y fitness	p327243	Silla romana ajustable con capacidad de 151 kg, banco de hiperextensión inclinado plegable, máquina de extensión de espalda multifuncional para gimnasio, en cas
22.66	5.87	28.52	Muebles	Taburetes y bancos	Deportes y fitness	p327853	Banco de gimnasio Banco De Extensión De Respaldo Ajustable Silla Romana De Alta Resistencia Equipo De Ejercicio De Hiperextensión Banco De Gimnasio para Sentars
22.44	10.67	33.11	Muebles	Mesas de comedor	Iluminación	p360411	Candelabro Colgante Negro de 12 Luces, Lámpara de Araña Industrial para Iluminación Interior, Comedor, Mesa Sala de Estar, Isla de Cocina, Recámara, 36 Pulgadas
22.44	10.69	33.12	Muebles	Muebles de cocina	Iluminación	p360074	Juego de 3 Lámparas Colgantes de Cristal Para Isla de Cocina, Lámpara de Techo Moderna Para Interior de Casas, Candelabro Cromo Lamparas Colgantes Para Comedor 
22.32	2.28	24.60	Otros	Organización del hogar	Equipo comercial	p358710	Carritos, Carro De Almacenamiento, Carro De Servicio, Vehículo Utilitario, Carro Portátil Multifunción, Carro Clasificador De Lavandería Comercial Plegable para
22.27	2.28	24.55	Otros	Organización del hogar	Equipo comercial	p358670	Carros de Almacenamiento Carro de Servicio Carro de Servicio Vehículo utilitario Carro multifunción portátil Carro de lavandería Comercial Plegable para el hoga
22.27	2.28	24.55	Otros	Organización del hogar	Equipo comercial	p358671	Carros de Almacenamiento Carro de Servicio Carro de Servicio Vehículo utilitario Carro multifunción portátil Carro de lavandería Comercial Plegable para el hoga
21.74	4.22	25.96	Muebles	Taburetes y bancos	Deportes y fitness	p327857	Banco de gimnasio Silla romana plegable de hiperextensión, banco de extensión de respaldo ajustable de alta resistencia, equipo de ejercicio para gimnasio en ca
21.60	8.12	29.71	Cocina y comedor	Organización de cocina	Equipo comercial	p360899	Carro De Servicio Industrial con Ruedas Y Botellero – Carro Bar De 3 Niveles De Madera Maciza Y Metal para Cocina, Té, Almacenamiento De Cerveza – Movilidad sob
21.37	2.28	23.65	Otros	Organización del hogar	Equipo comercial	p359737	IBERG Carrito de Almacenamiento Delgado de 5 Niveles con Ruedas, Carrito Utilitario Rodante con 4 Canastas de Malla Extensibles para Cocina, Baño y Lavandería (
21.08	1.64	22.72	Otros	Organización del hogar	Equipo comercial	p358730	Carros de Almacenamiento Carro de Servicio Carro utilitario Carro multifunción portátil Carro para el hogar Carro de Ropa Desmontable con Rueda Universal de Ace
21.00	8.13	29.14	Cocina y comedor	Organización de cocina	Equipo comercial	p360717	Carrito de Bar con Ruedas para Servir en el Patio, la Cocina, para Fiestas, Estilo Industrial, Vintage, de Madera y Metal, con 3 Niveles, para Cocina, Vino y bo
20.98	8.47	29.45	Computadoras de escritorio	All in One	Impresoras	p258182	Canon PIXMA TS6420a Impresora de inyección de Tinta inalámbrica Todo en uno [impresión, Copia, escaneo], Color Negro
20.96	10.05	31.02	Muebles	Muebles de cocina	Iluminación	p359971	Lámpara colgante de granja roja de 11.8 pulgadas, 2 unidades, luces colgantes de cocina, luz colgante industrial, luces colgantes de isla de cocina para sala de
20.84	8.60	29.45	Muebles	Muebles de cocina	Iluminación	p359723	Paquete de 2 luces colgantes de casa de campo, modernas lámparas colgantes industriales negras para jaula, lámparas colgantes para isla de cocina, comedor, sobr
